pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,is_borderline_massive,size_class,temp_zone,P_HABITABLE,P_ESI,P_TYPE,P_HABZONE_OPT,P_HABZONE_CON,hwc_habitable_label
HAT-P-60 b,HAT-P-60,Transit,2021,4.7947813,18.28184752,182.43350562,1772.0,6212.0,2.197,1.435,233.22,False,Giant,Too Hot,0.0,0.051067688,Jovian,0.0,0.0,Not habitable
HD 88986 b,HD 88986,Radial Velocity,2023,146.05,2.49,17.2,460.0,5861.0,1.543,1.25,33.2673,False,Sub-Neptune/Neptune,Too Hot,0.0,0.37954039,Neptunian,0.0,0.0,Not habitable
HD 215152 e,HD 215152,Radial Velocity,2018,25.1967,,975.41538108,517.82,4935.0,0.73,0.77,21.5974,False,,Too Hot,0.0,0.37986674,Terran,0.0,0.0,Not habitable
Kepler-704 b,Kepler-704,Transit,2016,3.76182115,2.61,7.32,1121.0,5616.0,0.96,0.97,1228.83,False,Sub-Neptune/Neptune,Too Hot,0.0,0.228378,Neptunian,0.0,0.0,Not habitable
K2-385 b,K2-385,Transit,2022,2.380867,1.539,2.98,,4844.0,0.761,0.927,420.819,False,Super-Earth,,0.0,0.28241422,Terran,0.0,0.0,Not habitable
Kepler-1432 b,Kepler-1432,Transit,2016,23.9109011,2.22,5.56,709.0,6031.0,1.13,1.09,2171.87,False,Sub-Neptune/Neptune,Too Hot,0.0,0.25721529,Superterran,0.0,0.0,Not habitable
Kepler-135 c,Kepler-135,Transit,2014,11.448708,1.16,1.65,975.0,6090.0,1.275,1.047,621.855,False,Earth-sized,Too Hot,0.0,0.29626911,Terran,0.0,0.0,Not habitable
Kepler-950 b,Kepler-950,Transit,2016,98.7180406,8.98,59.6,360.0,5857.0,1.02,1.02,2161.6,False,Giant,Too Hot,0.0,0.16491173,Jovian,0.0,0.0,Not habitable
HD 73526 b,HD 73526,Radial Velocity,2002,188.3,13.1,978.9164,414.37,5601.0,1.53,1.14,97.2396,False,Giant,Too Hot,0.0,0.22578103,Jovian,0.0,0.0,Not habitable
HD 207897 b,HD 207897,Transit,2021,16.20166,2.34302132,14.8,581.75,5106.0,0.7827,0.8208,28.2938,False,Sub-Neptune/Neptune,Too Hot,0.0,0.27741168,Neptunian,0.0,0.0,Not habitable
Kepler-1459 b,Kepler-1459,Transit,2016,62.8691611,1.36,2.42,349.0,4828.0,0.74,0.78,455.479,False,Super-Earth,Too Hot,0.0,0.57680628,Terran,0.0,0.0,Not habitable
