pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
HATS-32 b,HATS-32,Transit,2016,2.8126548,14.000041,292.4036,1437.0,5700.0,1.097,1.099,745.116
ZTF J1828+2308 b,ZTF J1828+2308,Transit,2025,0.1120067,11.13051784,6356.56814,,15900.0,0.0131,0.61,201.827
Kepler-1876 b,Kepler-1876,Transit,2021,6.99205,0.853,2.4,1299.0,6104.0,1.477,1.187,259.935
TOI-6564 b,TOI-6564,Transit,2026,3.985413,16.39873876,222.16205649,1445.0,5943.0,1.7,1.18,191.372
K2-219 c,K2-219,Transit,2018,6.66767,1.43839723,2.66,,5753.0,1.189232,1.021545,325.4
HD 37124 b,HD 37124,Radial Velocity,2002,154.378,14.0,214.53525,366.48,5698.64,0.949168,0.85,31.6634
Kepler-881 b,Kepler-881,Transit,2016,4.44448017,1.78,3.82,1217.0,5961.0,1.09,1.06,1375.18
TOI-333 b,TOI-333,Transit,2025,3.7852503,4.26,20.1,1445.0,6241.0,1.1,1.2,352.269
Kepler-60 c,Kepler-60,Transit,2012,8.9187,1.9,3.85,1023.0,5905.0,1.257,1.041,1025.1
Kepler-665 b,Kepler-665,Transit,2016,16.01310205,2.6,7.27,593.0,4913.0,0.74,0.79,612.838
Kepler-1848 b,Kepler-1848,Transit,2021,5.604020119,1.4088539,2.57,774.0,4847.0,0.737,0.756,309.696
TOI-2096 c,TOI-2096,Transit,2023,6.38784,1.914,4.32,349.0,3300.0,0.235,0.231,48.4809
Kepler-1698 b,Kepler-1698,Transit,2020,1.2107,1.07315686,1.25,1351.0,4975.03,0.741698,0.822,222.345
HIP 14810 c,HIP 14810,Radial Velocity,2006,147.747,13.6,416.3573,373.22,5544.0,1.07,1.01,50.48
HD 25463 c,HD 25463,Transit,2023,3.04405,1.36354953,4.3,1585.57,6353.0,1.4182,1.251,45.6181
Kepler-1869 c,Kepler-1869,Transit,2023,1.716828304,0.74,0.33,1455.0,5808.0,0.902,0.987,113.025
Kepler-292 b,Kepler-292,Transit,2014,2.580827,1.32,2.3,1130.0,5299.0,0.826,0.865,1056.48
Kepler-33 b,Kepler-33,Transit,2011,5.66793,1.74,3.68,1336.0,5904.0,1.82,1.291,1209.16
Kepler-601 b,Kepler-601,Transit,2016,5.378868441,1.9,4.27,833.0,5160.0,0.79,0.85,414.825
TOI-1347 b,TOI-1347,Transit,2024,0.84742346,1.8,11.1,1400.0,5464.0,0.83,0.913,147.476
K2-417 b,K2-417,Transit,2023,6.535,3.31,699.2224954,558.0,3861.0,0.5776,0.569,94.0424
Kepler-1020 b,Kepler-1020,Transit,2016,96.9151496,2.28,5.82,325.0,5227.0,0.8,0.87,415.358
Kepler-1346 b,Kepler-1346,Transit,2016,3.40165668,1.58,3.12,1236.0,6133.0,1.21,1.14,843.701
TOI-1750 b,TOI-1750,Transit,2026,11.33727129656,2.78943837,8.19,612.92,4683.75,0.768675,0.767,162.46
HD 180314 b,HD 180314,Radial Velocity,2010,394.73,12.0,7216.92963775,597.64,4917.0,9.2,2.6,122.362
Kepler-181 c,Kepler-181,Transit,2014,4.302149,1.99,4.62,937.0,5333.0,0.749,0.81,609.283
Kepler-953 c,Kepler-953,Transit,2016,9.10967112,1.19,1.81,873.0,5416.0,0.99,0.95,258.893
TOI-1696 b,TOI-1696,Transit,2022,2.500311,3.09,48.8,489.0,3185.0,0.2775,0.255,64.9172
TIC 77552382 b,TIC 77552382,Transit,2026,3.51025904942,5.69176189,27.5,1433.88,4981.07,0.886956,0.83,373.415
HD 96167 b,HD 96167,Radial Velocity,2009,498.04,14.0,227.88411,333.63,5733.0,1.94,1.27,85.3006
Kepler-1770 b,Kepler-1770,Transit,2021,16.84189987,2.84141754,8.45,699.0,5602.0,1.009,0.941,582.942
Kepler-292 e,Kepler-292,Transit,2014,11.97901,2.67,7.61,678.0,5299.0,0.826,0.865,1056.48
Kepler-154 b,Kepler-154,Transit,2014,33.040532,2.26,5.73,561.0,5690.0,1.001,0.933,915.212
Kepler-1660 AB b,Kepler-1660 A,Eclipse Timing Variations,2023,239.5044,12.9,1586.59940774,415.08,6305.24,1.491,1.1366,1188.54
Kepler-379 b,Kepler-379,Transit,2014,20.09838,1.66,3.39,775.0,6054.0,1.306,1.125,731.274
HAT-P-33 b,HAT-P-33,Transit,2011,3.47447,20.73665,292.4036,1782.0,6446.0,1.79,1.82,396.11
Kepler-567 b,Kepler-567,Transit,2016,16.54297375,2.25,5.69,611.0,5148.0,0.79,0.84,558.81
KIC 8121913 b,KIC 8121913,Orbital Brightness Modulation,2021,3.294601,13.4,667.4396547,,5975.3,2.233,1.456,707.303
K2-198 d,K2-198,Transit,2019,7.4500177,2.438,6.52,943.2,5212.9,0.757,0.799,110.567
Kepler-176 e,Kepler-176,Transit,2016,51.16579,1.45,0.52075,398.0,5295.0,0.83,0.87,527.321
HD 109246 b,HD 109246,Radial Velocity,2010,68.27,13.9,273.3338,507.43,5844.0,1.07,1.2,67.8349
TOI-5489 c,TOI-5489,Transit,2025,4.92126,1.28,2.18,536.0,3547.0,0.42,0.41,45.0907
K2-415 b,K2-415,Transit,2023,4.0179694,1.015,7.5,412.4,3173.0,0.1965,0.1635,21.8182
Kepler-800 b,Kepler-800,Transit,2016,14.13176026,2.85,8.5,675.0,5315.0,0.82,0.85,1019.26
Kepler-327 c,Kepler-327,Transit,2014,5.212333,1.03,20.3,537.0,3799.0,0.492,0.591913,241.987
Kepler-28 c,Kepler-28,Transit,2011,8.99,1.857,2.06,509.0,4499.3,0.664,0.684,438.359
K2-271 b,K2-271,Transit,2018,8.562421,7.28,41.8,893.0,5644.0,0.99,0.83,564.454
KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,Microlensing,2020,,9.01,60.0,,,,0.087,7300.0
KMT-2024-BLG-1870L b,KMT-2024-BLG-1870L,Microlensing,2026,,13.8,336.89811142,,,,0.67,5480.0
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,Microlensing,2024,,2.41,6.39,,,,0.19,7220.0
Kepler-1418 b,Kepler-1418,Transit,2016,22.4764425,1.66,3.39,419.0,4770.0,0.72,0.77,499.0
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,2017,,13.0,1330.0,,,,0.72,3410.0
TOI-1694 c,TOI-1694,Radial Velocity,2023,386.25,13.8,316.55709337,222.0,5005.0,0.812,0.828,124.68
HD 9446 c,HD 9446,Radial Velocity,2009,192.9,13.4,578.426,345.42,5793.0,1.0,1.0,50.3503
MASCARA-4 b,MASCARA-4,Transit,2020,2.8240932,16.98160576,532.36258173,2250.0,7800.0,1.79,1.75,170.696
Kepler-1846 b,Kepler-1846,Transit,2021,14.82009983,1.76378826,3.76,552.0,4825.0,0.732,0.785,374.615
HD 147873 b,HD 147873,Radial Velocity,2016,116.596,12.8,1633.6462,603.16,5972.0,2.29,1.38,109.055
Kepler-224 e,Kepler-224,Transit,2014,18.643577,1.97,4.54,517.0,5018.0,0.676,0.777,782.088
Kepler-1670 b,Kepler-1670,Transit,2020,20.4998,3.3564801,11.2,731.0,5838.0,1.51889,1.05,2065.98
Kepler-92 c,Kepler-92,Transit,2013,26.723,2.6,6.1,781.0,5883.0,1.7,1.21,477.992
Kepler-1799 b,Kepler-1799,Transit,2021,11.9296999,4.12801189,15.9,770.0,5831.0,0.921,1.016,2254.69
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,Microlensing,2025,,4.86,21.0,,,,0.6,7000.0
PSR B1620-26 b,PSR B1620-26,Pulsar Timing,2003,,13.3,794.575,,,,1.35,
TYC 8998-760-1 b,TYC 8998-760-1,Imaging,2020,,21.18497352,6928.6592726,2638.0,4573.0,1.02,1.0,94.6177
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,Microlensing,2018,,1.94,4.43,,,,0.234,860.0
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,Microlensing,2023,,13.7,368.68095212,,,,0.34,5910.0
OGLE-2016-BLG-1093L b,OGLE-2016-BLG-1093L,Microlensing,2022,,14.0,225.65816897,,,,0.46,8120.0
MOA-2010-BLG-117L b,MOA-2010-BLG-117L,Microlensing,2018,,14.2,170.0,,,,0.58,3500.0
OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,Microlensing,2008,1788.5,14.0,231.0,82.0,,,0.51,1510.0
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L,Microlensing,2013,,13.2,868.0,,,,0.44,4970.0
Kepler-1265 b,Kepler-1265,Transit,2016,6.49441289,1.35,2.39,732.0,4630.0,0.69,0.71,583.641
HD 332231 b,HD 332231,Transit,2020,18.712024,9.07303305,74.1,798.3,6128.0,1.266,1.1642,80.6665
HD 233604 b,HD 233604,Radial Velocity,2013,192.0,12.7,2089.644,882.5,4791.0,10.9,1.5,847.058
Kepler-1591 b,Kepler-1591,Transit,2016,8.18504949,1.27,2.15,892.0,6082.0,1.16,1.1,1419.58
HD 22532 b,HD 22532,Radial Velocity,2022,872.6,13.4,673.79622284,420.41,5038.0,5.69,1.57,161.183
TOI-7189 b,TOI-7189,Transit,2026,2.89055,10.9,159.04,738.0,3775.0,0.591,0.612,192.09
TOI-7265 B b,TOI-7265 B,Transit,2026,4.17232,10.7,224.95,571.0,3503.0,0.497,0.521,143.97
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,Microlensing,2021,,12.7,2034.1018048,,,,0.62,6600.0
MOA-2016-BLG-526L b,MOA-2016-BLG-526L,Microlensing,2024,,3.97,14.93793513,,,,0.37,6930.0
TOI-6695 c,TOI-6695,Radial Velocity,2025,242.4,13.6,460.85119015,415.0,6400.0,1.517,1.338,282.536
Kepler-249 b,Kepler-249,Transit,2014,3.306539,1.09,1.32,554.0,3568.0,0.482,0.510238,190.401
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,Microlensing,2021,,2.83,8.4,,,,0.37,7400.0
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,Imaging,2012,,10.468,6992.0,450.0,575.0,0.091,0.029,10.1
KMT-2024-BLG-0176L b,KMT-2024-BLG-0176L,Microlensing,2026,,14.0,241.54958932,,,,0.103,8340.0
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,Microlensing,2023,,13.9,279.68899816,,,,0.73,3800.0
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,Microlensing,2019,,14.0,230.0,,,,0.33,6500.0
